address,zipcode,beds,dog,cat,dishwasher,ac,laundry,parking,gym,price
Berkeley| CA 94705,94705,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2350
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2450
Berkeley| CA 94702,94702,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1795
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2495
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1650
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1750
Berkeley| CA 94709,94709,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3550
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,995
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1975
Berkeley| CA 94709,94709,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2750
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2295
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2150
Berkeley| CA 94710,94710,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2380
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2700
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1000
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2400
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2400
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2795
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1895
Berkeley| CA 94709,94709,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3495
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2295
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2695
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1695
Berkeley| CA 94703,94703,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4250
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1995
Berkeley| CA 94705,94705,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2200
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1995
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1650
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2995
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1895
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1795
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1699
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1795
Berkeley| CA 94704,94704,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5400
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2895
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2450
Berkeley| CA 94704,94704,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3250
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2495
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1695
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2000
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1995
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1750
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2800
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2690
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2095
Berkeley| CA 94702,94702,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2095
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2195
1841 Fairview St| Berkeley| CA 94703,94703,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3800
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2400
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2100
1714 Fairview St| Berkeley| CA 94703,94703,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5126
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1750
